Class,Gender,Age,Institute,Department,Students ID,Academic year,Nationality,psychological factor,Teachers factor,eco_status of fam,Family size,Family satisfaction,Accomodation,Institutional factor,Father education,Mother education,Father job,Mother job,Location_student,No of absence,Credit hour,CGPA,Grade
Low,F,24,College of Natural science,biology,RAS/097/09,2009,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.39 ,Low
Low,M,24,College of Natural science,biology,RAS/067/05,2005,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.48 ,Low
Low,F,24,College of Natural science,biology,RAS/081/08,2008,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.38 ,Low
Medium,M,24,College of Natural science,biology,RAS/107/09,2009,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.49 ,Medium
Low,M,24,College of Natural science,biology,RAS/073/06,2006,Ethiopian,Low,<=5,poor,<=3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,180,2.20 ,Low
Medium,F,24,College of Natural science,biology,RAS/074/06,2006,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.49 ,Medium
Medium,M,24,College of Natural science,biology,RAS/079/05,2005,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.08 ,Medium
Medium,M,24,College of Natural science,biology,RAS/082/05,2005,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Under-7,180,3.32 ,Medium
Medium,M,24,College of Natural science,biology,RAS/083/05,2005,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.33 ,Medium
Medium,M,24,College of Natural science,biology,RAS/212/11,2011,Ethiopian,Medium,>=6,poor,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,2.75 ,Medium
Low,M,24,College of Natural science,biology,RAS/126/10,2010,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,2.49 ,Low
Low,F,24,College of Natural science,biology,RAS/114/08,2008,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,primary,farmer,house wife,urban,Under-7,180,2.23 ,Low
Medium,F,24,College of Natural science,biology,RAS/219/11,2011,Ethiopian,Medium,>=6,poor,>3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Under-7,180,2.96 ,Medium
Low,M,24,College of Natural science,biology,RAS/091/05,2005,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.48 ,Low
Medium,M,24,College of Natural science,biology,RAS/141/07,2007,Ethiopian,Medium,>=6,low_middle class,<=3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,3.13 ,Medium
Medium,M,24,College of Natural science,biology,RAS/142/07,2007,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,rural,Above-7,180,2.62 ,Medium
Low,F,24,College of Natural science,biology,RAS/131/10,2010,Ethiopian,Low,>=6,low_middle class,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.31 ,Low
Low,F,24,College of Natural science,biology,RAS/229/11,2011,Ethiopian,Low,>=6,poor,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,180,2.36 ,Low
Medium,M,24,College of Natural science,biology,RAS/081/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,180,3.33 ,Medium
Medium,F,24,College of Natural science,biology,RAS/288/08,2008,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,college,secodary,civil servant,house wife,urban,Under-7,180,3.43 ,Medium
Medium,F,24,College of Natural science,biology,RAS/083/06,2006,Ethiopian,Medium,>=6,mid_middle class,>3,yes,dormatory,sometimes,primary,secodary,civil servant,house wife,urban,Under-7,180,2.91 ,Medium
Low,F,24,College of Natural science,biology,RAS/137/10,2010,Ethiopian,Low,>=6,mid_middle class,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.33 ,Low
Medium,F,24,College of Natural science,biology,RAS/234/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,high school,farmer,house wife,urban,Under-7,180,3.33 ,Medium
Medium,F,24,College of Natural science,biology,RAS/117/08,2008,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,secondary,college,farmer,civil servant,urban,Under-7,180,2.55 ,Medium
Medium,F,24,College of Natural science,biology,RAS/232/11,2011,Ethiopian,Medium,>=6,poor,<=3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.17 ,Medium
High,F,24,College of Natural science,biology,RAS/140/10,2010,Ethiopian,High,>=6,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.92 ,High
Medium,F,24,College of Natural science,biology,RAS/236/11,2011,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.45 ,Medium
Medium,M,24,College of Natural science,biology,RAS/237/11,2011,Ethiopian,Medium,>=6,mid_middle class,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,2.58 ,Medium
Medium,M,24,College of Natural science,biology,RAS/153/07,2007,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Under-7,180,2.88 ,Medium
Low,M,24,College of Natural science,biology,RAS/156/07,2007,Ethiopian,Low,<=5,mid_middle class,>3,no,dormatory,never,degree,secodary,civil servant,house wife,rural,Under-7,180,2.28 ,Low
Medium,M,24,College of Natural science,biology,RAS/151/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,degree,secodary,civil servant,house wife,rural,Under-7,180,2.62 ,Medium
High,M,24,College of Natural science,biology,RAS/157/07,2007,Ethiopian,High,<=5,mid_middle class,>3,no,dormatory,sometimes,degree,secodary,merchant,house wife,rural,Under-7,180,3.60 ,High
Low,F,24,College of Natural science,biology,RAS/152/09,2009,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,2.42 ,Low
Medium,M,24,College of Natural science,biology,RAS/153/09,2009,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.53 ,Medium
Medium,F,24,College of Natural science,biology,RAS/398/08,2008,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.38 ,Medium
Medium,M,24,College of Natural science,biology,RAS/088/06,2006,Ethiopian,Medium,<=5,poor,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.28 ,Medium
Low,M,24,College of Natural science,biology,RAS/104/05,2005,Ethiopian,Low,<=5,low_middle class,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.43 ,Low
Medium,F,24,College of Natural science,biology,RAS/165/07,2007,Ethiopian,Medium,<=5,mid_middle class,>3,yes,dormatory,sometimes,phd,primary,merchant,civil servant,rural,Under-7,180,2.55 ,Medium
Low,M,24,College of Natural science,physics,RAS/094/08,2008,Ethiopian,Low,<=5,mid_middle class,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,2.49 ,Low
Low,F,24,College of Natural science,physics,RAS/158/09,2009,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.44 ,Low
High,F,24,College of Natural science,physics,RAS/157/09,2009,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,3.64 ,High
High,M,24,College of Natural science,physics,RAS/107/05,2005,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,3.50 ,High
Low,M,24,College of Natural science,physics,RAS/110/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.46 ,Low
Low,F,24,College of Natural science,physics,RAS/112/05,2005,Ethiopian,Low,<=5,poor,>3,no,dormatory,Medium,secondary,secodary,farmer,house wife,urban,Above-7,180,2.24 ,Low
Medium,F,24,College of Natural science,physics,RAS/261/11,2011,Ethiopian,Medium,<=5,poor,>3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Above-7,180,3.14 ,Medium
High,F,24,College of Natural science,physics,RAS/114/05,2005,Ethiopian,High,<=5,low_middle class,<=3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Above-7,180,3.55 ,High
Medium,M,24,College of Natural science,physics,RAS/169/09,2009,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,always,degree,secodary,farmer,house wife,urban,Above-7,180,3.38 ,Medium
High,M,24,College of Natural science,physics,RAS/086/05,2005,Ethiopian,High,<=5,poor,<=3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Above-7,180,3.66 ,High
Low,M,24,College of Natural science,physics,RAS/119/05,2005,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,secondary,secodary,farmer,house wife,rural,Above-7,180,2.37 ,Low
Medium,M,24,College of Natural science,physics,RAS/169/10,2010,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,msc,secodary,farmer,house wife,urban,Above-7,180,2.69 ,Medium
Low,F,24,College of Natural science,physics,RAS/175/09,2009,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Under-7,180,2.31 ,Low
High,M,24,College of Natural science,physics,RAS/177/09,2009,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.65 ,High
High,M,24,College of Natural science,physics,RAS/174/07,2007,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.58 ,High
Medium,M,24,College of Natural science,physics,RAS/120/05,2005,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.84 ,Medium
Low,F,24,College of Natural science,physics,RAS/034/08,2008,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,rural,Above-7,180,2.38 ,Low
Low,F,24,College of Natural science,physics,RAS/140/08,2008,Ethiopian,Low,<=5,poor,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.24 ,Low
Low,F,24,College of Natural science,physics,RAS/142/08,2008,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.26 ,Low
High,M,24,College of Natural science,physics,RAS/178/10,2010,Ethiopian,High,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.77 ,High
High,M,24,College of Natural science,physics,RAS/125/05,2005,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,college,secodary,civil servant,house wife,rural,Above-7,180,3.67 ,High
Low,M,24,College of Natural science,physics,RAS/188/09,2009,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Above-7,180,2.27 ,Low
Medium,M,24,College of Natural science,physics,RAS/179/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.32 ,Medium
Low,M,24,College of Natural science,physics,RAS/343/08,2008,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,primary,high school,farmer,house wife,urban,Under-7,180,2.24 ,Low
Low,M,24,College of Natural science,physics,RAS/182/10,2010,Ethiopian,Low,<=5,mid_middle class,>3,no,dormatory,always,primary,primary,farmer,civil servant,urban,Above-7,180,2.25 ,Low
Low,M,24,College of Natural science,physics,RAS/180/07,2007,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,always,primary,primary,farmer,house wife,urban,Under-7,180,2.26 ,Low
Medium,M,24,College of Natural science,physics,RAS/182/07,2007,Ethiopian,Medium,<=5,mid_middle class,>3,yes,dormatory,always,primary,primary,farmer,house wife,urban,Above-7,180,3.42 ,Medium
High,M,24,College of Natural science,physics,RAS/186/07,2007,Ethiopian,High,<=5,poor,>3,yes,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,3.77 ,High
Medium,M,24,College of Natural science,physics,RAS/187/07,2007,Ethiopian,Medium,>=6,poor,<=3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.97 ,Medium
Medium,F,24,College of Natural science,physics,RAS/187/10,2010,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.64 ,Medium
High,M,24,College of Natural science,physics,RAS/191/10,2010,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,never,degree,secodary,civil servant,house wife,rural,Under-7,180,3.57 ,High
High,M,24,College of Natural science,physics,RAS/138/05,2005,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,3.68 ,High
Medium,M,24,College of Natural science,physics,RAS/106/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,degree,secodary,merchant,house wife,rural,Above-7,180,2.63 ,Medium
High,M,24,College of Natural science,physics,RAS/298/08,2008,Ethiopian,High,<=5,low_middle class,>3,yes,dormatory,always,degree,secodary,civil servant,house wife,rural,Above-7,180,3.73 ,High
Medium,F,24,College of Natural science,physics,RAS/194/10,2010,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180,3.11 ,Medium
Medium,M,24,College of Natural science,physics,RAS/110/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180,3.27 ,Medium
High,M,24,College of Natural science,physics,RAS/227/08,2008,Ethiopian,High,<=5,low_middle class,>3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Above-7,180,3.97 ,High
Medium,M,24,College of Natural science,physics,RAS/112/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,180,3.41 ,Medium
Medium,M,24,College of Natural science,physics,RAS/115/08,2008,Ethiopian,Medium,>=6,low_middle class,<=3,yes,dormatory,sometimes,msc,primary,merchant,civil servant,urban,Under-7,180,3.46 ,Medium
Low,M,24,College of Natural science,physics,RAS/180/08,2008,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Above-7,180,2.31 ,Low
Medium,F,24,College of Natural science,physics,RAS/145/05,2005,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.06 ,Medium
Medium,F,24,College of Natural science,physics,RAS/146/05,2005,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.52 ,Medium
Low,F,24,College of Natural science,physics,RAS/332/11,2011,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.37 ,Low
Low,F,24,College of Natural science,physics,RAS/354/08,2008,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.22 ,Low
Medium,M,24,College of Natural science,physics,RAS/212/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.13 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/213/09,2009,Ethiopian,Low,>=6,mid_middle class,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,2.32 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/145/08,2008,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.00 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/219/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,2.51 ,Medium
High,F,24,College of Natural science,mathematics,RAS/204/07,2007,Ethiopian,High,>=6,low_middle class,<=3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,3.70 ,High
Low,F,24,College of Natural science,mathematics,RAS/347/11,2011,Ethiopian,Low,<=5,poor,>3,yes,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,2.31 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/348/11,2011,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,always,secondary,secodary,farmer,house wife,urban,Under-7,180,3.05 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/223/09,2009,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,always,secondary,primary,farmer,house wife,urban,Under-7,180,3.41 ,Medium
High,M,24,College of Natural science,mathematics,RAS/205/10,2010,Ethiopian,High,<=5,low_middle class,>3,yes,dormatory,always,secondary,secodary,farmer,house wife,rural,Under-7,180,3.74 ,High
High,M,24,College of Natural science,mathematics,RAS/151/05,2005,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,180,3.79 ,High
High,M,24,College of Natural science,mathematics,RAS/154/05,2005,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.67 ,High
Medium,M,24,College of Natural science,mathematics,RAS/301/08,2008,Ethiopian,Medium,>=6,low_middle class,>3,no,dormatory,sometimes,degree,primary,civil servant,house wife,urban,Under-7,180,2.81 ,Medium
Low,M,24,College of Natural science,mathematics,RAS/225/09,2009,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,180,2.23 ,Low
High,M,24,College of Natural science,mathematics,RAS/207/07,2007,Ethiopian,High,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,urban,Above-7,180,3.93 ,High
Medium,M,24,College of Natural science,mathematics,RAS/123/06,2006,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,3.35 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/124/06,2006,Ethiopian,Medium,<=5,poor,<=3,yes,dormatory,always,college,secodary,civil servant,house wife,rural,Under-7,180,3.29 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/127/06,2006,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,never,primary,secodary,civil servant,house wife,rural,Under-7,180,3.39 ,Medium
High,F,24,College of Natural science,mathematics,RAS/231/09,2009,Ethiopian,High,<=5,poor,>3,no,dormatory,never,primary,primary,farmer,house wife,rural,Under-7,180,3.65 ,High
Medium,M,24,College of Natural science,mathematics,RAS/156/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,high school,farmer,house wife,rural,Under-7,180,3.28 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/214/10,2010,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,college,farmer,civil servant,rural,Above-7,180,2.28 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/208/08,2008,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Above-7,180,2.57 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/238/09,2009,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,rural,Under-7,180,2.27 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/164/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,always,primary,primary,farmer,house wife,urban,Under-7,180,2.90 ,Medium
High,F,24,College of Natural science,mathematics,RAS/165/05,2005,Ethiopian,High,<=5,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.54 ,High
Medium,M,24,College of Natural science,mathematics,RAS/225/07,2007,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,primary,primary,farmer,house wife,urban,Above-7,180,3.27 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/240/08,2008,Ethiopian,Low,<=5,low_middle class,<=3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,urban,Under-7,180,2.25 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/139/06,2006,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,2.55 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/229/10,2010,Ethiopian,Medium,<=5,low_middle class,<=3,no,dormatory,sometimes,degree,secodary,merchant,house wife,rural,Above-7,180,2.61 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/172/05,2005,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Above-7,180,3.21 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/140/06,2006,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.58 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/182/05,2005,Ethiopian,Medium,<=5,poor,>3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Above-7,180,2.87 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/056/06,2006,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.82 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/411/11,2011,Ethiopian,Medium,<=5,low_middle class,>3,yes,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,3.22 ,Medium
Low,M,24,College of Natural science,mathematics,RAS/141/06,2006,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,phd,primary,merchant,civil servant,rural,Under-7,180,2.41 ,Low
Medium,M,24,College of Natural science,mathematics,RAS/233/07,2007,Ethiopian,Medium,>=6,poor,>3,no,dormatory,sometimes,degree,secodary,civil servant,house wife,rural,Under-7,180,2.94 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/238/10,2010,Ethiopian,Medium,<=5,low_middle class,<=3,yes,dormatory,always,primary,secodary,farmer,house wife,rural,Under-7,180,2.54 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/257/09,2009,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,always,primary,secodary,farmer,house wife,urban,Under-7,180,2.27 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/144/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,3.04 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/258/09,2009,Ethiopian,Low,<=5,mid_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.33 ,Low
Low,F,24,College of Natural science,mathematics,RAS/239/10,2010,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.42 ,Low
Low,M,24,College of Natural science,mathematics,RAS/420/11,2011,Ethiopian,Low,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Above-7,180,2.40 ,Low
Low,F,24,College of Natural science,mathematics,RAS/251/10,2010,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Under-7,180,2.22 ,Low
Low,F,24,College of Natural science,mathematics,RAS/274/09,2009,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,degree,secodary,farmer,house wife,urban,Under-7,180,2.36 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/284/09,2009,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,urban,Under-7,180,3.04 ,Medium
Low,M,24,College of Natural science,mathematics,RAS/441/11,2011,Ethiopian,Low,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,2.05 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/186/05,2005,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Under-7,180,2.63 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/159/06,2006,Ethiopian,Low,<=5,low_middle class,<=3,no,dormatory,sometimes,secondary,primary,farmer,house wife,rural,Under-7,180,2.23 ,Low
Low,F,24,College of Natural science,mathematics,RAS/160/06,2006,Ethiopian,Low,<=5,low_middle class,<=3,no,dormatory,never,secondary,secodary,farmer,house wife,rural,Under-7,180,3.06 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/161/06,2006,Ethiopian,Medium,<=5,low_middle class,>3,no,dormatory,never,primary,secodary,farmer,house wife,rural,Under-7,180,2.74 ,Medium
Low,F,24,College of Natural science,mathematics,RAS/188/05,2005,Ethiopian,Low,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Above-7,180,2.45 ,Low
Low,F,24,College of Natural science,mathematics,RAS/150/07,2007,Ethiopian,Low,<=5,low_middle class,>3,yes,dormatory,sometimes,degree,primary,civil servant,house wife,rural,Above-7,180,2.03 ,Low
Low,F,24,College of Natural science,mathematics,RAS/169/06,2006,Ethiopian,Low,>=6,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.16 ,Low
Medium,F,24,College of Natural science,mathematics,RAS/263/07,2007,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.70 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/272/10,2010,Ethiopian,Medium,<=5,poor,>3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,3.41 ,Medium
Medium,M,24,College of Natural science,mathematics,RAS/116/08,2008,Ethiopian,Medium,>=6,mid_middle class,>3,yes,dormatory,sometimes,college,secodary,civil servant,house wife,rural,Under-7,180,2.71 ,Medium
Medium,F,24,College of Natural science,mathematics,RAS/300/09,2009,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,2.81 ,Medium
High,M,24,College of Natural science,mathematics,RAS/301/09,2009,Ethiopian,High,>=6,poor,<=3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Above-7,180,3.58 ,High
Medium,M,24,College of Natural science,mathematics,RAS/205/08,2008,Ethiopian,Medium,>=6,low_middle class,>3,yes,dormatory,sometimes,primary,secodary,farmer,house wife,urban,Under-7,180,2.94 ,Medium
Low,M,24,College of Natural science,mathematics,RAS/270/07,2007,Ethiopian,Low,>=6,low_middle class,<=3,no,dormatory,sometimes,primary,secodary,farmer,house wife,rural,Under-7,180,2.49 ,Low
High,M,24,College of Natural science,mathematics,RAS/278/10,2010,Ethiopian,High,>=6,low_middle class,>3,no,dormatory,sometimes,secondary,secodary,farmer,house wife,rural,Above-7,180,3.92 ,High
